0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,30.0,10.0,20.0,50.0,10.0,10.0,0.0,10.0,20.0,20.0,20.0,5.0,10.0,10.0,10.0
35.0,0.0,100.0,10.0,12.0,30.0,20.0,20.0,15.0,25.0,20.0,10.0,10.0,25.0,20.0,40.0
20.0,85.0,0.0,25.0,20.0,30.0,14.0,10.0,15.0,29.0,15.0,10.0,10.0,15.0,25.0,10.0
19.0,20.0,50.0,0.0,30.0,31.0,21.0,23.0,64.0,29.0,30.0,25.0,62.0,70.0,20.0,60.0
53.0,30.0,20.0,30.0,0.0,20.0,10.0,20.0,20.0,60.0,70.0,50.0,0.0,10.0,10.0,20.0
10.0,5.0,20.0,2.0,10.0,0.0,100.0,100.0,0.0,20.0,20.0,0.0,0.0,0.0,10.0,12.0
15.0,20.0,10.0,10.0,5.0,100.0,0.0,100.0,10.0,30.0,10.0,10.0,10.0,0.0,5.0,30.0
10.0,20.0,10.0,15.0,10.0,100.0,100.0,0.0,0.0,15.0,0.0,10.0,10.0,10.0,10.0,10.0
10.0,28.0,10.0,23.0,20.0,60.0,60.0,20.0,0.0,40.0,20.0,0.0,15.0,70.0,20.0,50.0
20.0,30.0,0.0,45.0,67.0,20.0,30.0,20.0,18.0,0.0,70.0,70.0,75.0,70.0,70.0,60.0
20.0,20.0,10.0,10.0,50.0,30.0,20.0,20.0,20.0,50.0,0.0,85.0,20.0,0.0,10.0,20.0
20.0,50.0,20.0,10.0,70.0,25.0,30.0,0.0,30.0,65.0,95.0,0.0,10.0,30.0,20.0,0.0
20.0,20.0,20.0,45.0,20.0,40.0,20.0,20.0,60.0,40.0,10.0,14.0,0.0,90.0,80.0,70.0
20.0,30.0,20.0,70.0,25.0,30.0,15.0,20.0,70.0,50.0,25.0,5.0,80.0,0.0,70.0,80.0
20.0,40.0,40.0,40.0,30.0,30.0,20.0,10.0,55.0,45.0,70.0,20.0,80.0,85.0,0.0,80.0
12.0,20.0,20.0,61.0,20.0,20.0,50.0,15.0,65.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0
